season,t:game number,to:game number,t:abbreviation,to:abbreviation,t:rest,to:rest,t:goals,to:goals,shoot out,t:line,to:line,t:wins,to:wins,t:losses,to:losses,t:matchup wins,t:matchup losses,H,t.period.scores0,t.period.scores1,t.period.scores2,t.period.scores3,t.period.scores4,to.period.scores0,to.period.scores1,to.period.scores2,to.period.scores3,to.period.scores4
2016.0,59.0,60.0,NYR,MON,1,2,2,3,1,-122,112,38.0,31.0,20.0,28.0,0.0,1.0,True,1,1,0,0,0,1,1,0,0,1
2016.0,60.0,59.0,MON,NYR,2,1,3,2,1,112,-122,31.0,38.0,28.0,20.0,1.0,0.0,False,1,1,0,0,1,1,1,0,0,0
2016.0,56.0,59.0,CAR,PIT,1,1,1,3,-,126,-136,24.0,36.0,31.0,22.0,0.0,2.0,True,1,0,0,-,-,1,1,1,-,-
2016.0,59.0,56.0,PIT,CAR,1,1,3,1,-,-136,126,36.0,24.0,22.0,31.0,2.0,0.0,False,1,1,1,-,-,1,0,0,-,-
2016.0,59.0,63.0,TOR,WIN,1,1,5,4,-,-149,139,27.0,28.0,31.0,34.0,0.0,1.0,True,1,2,1,1,-,2,2,0,0,-
2016.0,63.0,59.0,WIN,TOR,1,1,4,5,-,139,-149,28.0,27.0,34.0,31.0,1.0,0.0,False,2,2,0,0,-,1,2,1,1,-
2016.0,60.0,59.0,DET,NYI,1,1,1,3,-,104,-114,24.0,27.0,35.0,31.0,2.0,0.0,True,1,0,0,-,-,1,1,1,-,-
2016.0,59.0,60.0,NYI,DET,1,1,3,1,-,-114,104,27.0,24.0,31.0,35.0,0.0,2.0,False,1,1,1,-,-,1,0,0,-,-
2016.0,59.0,60.0,TB,EDM,1,2,4,1,-,-145,135,26.0,32.0,32.0,27.0,0.0,1.0,True,1,1,2,-,-,0,1,0,-,-
2016.0,60.0,59.0,EDM,TB,2,1,1,4,-,135,-145,32.0,26.0,27.0,32.0,1.0,0.0,False,0,1,0,-,-,1,1,2,-,-
2016.0,59.0,60.0,NAS,CAL,1,2,5,6,-,-145,135,28.0,29.0,30.0,30.0,1.0,0.0,True,1,4,0,0,-,3,1,1,1,-
2016.0,60.0,59.0,CAL,NAS,2,1,6,5,-,135,-145,29.0,28.0,30.0,30.0,0.0,1.0,False,3,1,1,1,-,1,4,0,0,-
2016.0,59.0,60.0,MIN,CHI,2,1,3,5,-,-149,139,39.0,36.0,19.0,23.0,1.0,1.0,True,0,1,2,-,-,0,2,3,-,-
2016.0,60.0,59.0,CHI,MIN,1,2,5,3,-,139,-149,36.0,39.0,23.0,19.0,1.0,1.0,False,0,2,3,-,-,0,1,2,-,-
2016.0,58.0,59.0,COL,LA,1,1,1,2,-,163,-173,16.0,28.0,41.0,30.0,1.0,1.0,True,0,1,0,-,-,0,2,0,-,-
2016.0,59.0,58.0,LA,COL,1,1,2,1,-,-173,163,28.0,16.0,30.0,41.0,1.0,1.0,False,0,2,0,-,-,0,1,0,-,-
2016.0,59.0,61.0,FLA,EDM,1,0,3,4,-,-144,134,28.0,32.0,30.0,28.0,0.0,1.0,True,0,3,0,-,-,1,2,1,-,-
2016.0,61.0,59.0,EDM,FLA,0,1,4,3,-,134,-144,32.0,28.0,28.0,30.0,1.0,0.0,False,1,2,1,-,-,0,3,0,-,-
2016.0,60.0,59.0,PHI,WAS,2,2,1,4,-,139,-149,28.0,39.0,31.0,19.0,1.0,1.0,True,0,1,0,-,-,2,1,1,-,-
2016.0,59.0,60.0,WAS,PHI,2,2,4,1,-,-149,139,39.0,28.0,19.0,31.0,1.0,1.0,False,2,1,1,-,-,0,1,0,-,-
2016.0,62.0,60.0,ANA,BOS,1,2,5,3,-,106,-116,31.0,30.0,30.0,29.0,1.0,0.0,True,0,3,2,-,-,1,1,1,-,-
2016.0,60.0,62.0,BOS,ANA,2,1,3,5,-,-116,106,30.0,31.0,29.0,30.0,0.0,1.0,False,1,1,1,-,-,0,3,2,-,-
2016.0,60.0,60.0,TOR,NYR,1,1,1,2,1,-110,-110,28.0,38.0,31.0,21.0,1.0,1.0,True,1,0,0,0,0,0,0,1,0,1
2016.0,60.0,60.0,NYR,TOR,1,1,2,1,1,-110,-110,38.0,28.0,21.0,31.0,1.0,1.0,False,0,0,1,0,1,1,0,0,0,0
2016.0,61.0,60.0,MON,NYI,1,1,0,3,-,-148,138,32.0,28.0,28.0,31.0,1.0,1.0,True,0,0,0,-,-,1,1,1,-,-
2016.0,60.0,61.0,NYI,MON,1,1,3,0,-,138,-148,28.0,32.0,31.0,28.0,1.0,1.0,False,1,1,1,-,-,0,0,0,-,-
2016.0,60.0,61.0,TB,CAL,1,1,2,3,-,-150,130,27.0,30.0,32.0,30.0,1.0,0.0,True,1,0,1,-,-,0,2,1,-,-
2016.0,61.0,60.0,CAL,TB,1,1,3,2,-,130,-150,30.0,27.0,30.0,32.0,0.0,1.0,False,0,2,1,-,-,1,0,1,-,-
2016.0,60.0,59.0,NAS,COL,1,1,4,2,-,-270,231,28.0,16.0,31.0,42.0,4.0,0.0,True,1,2,1,-,-,1,1,0,-,-
2016.0,59.0,60.0,COL,NAS,1,1,2,4,-,231,-270,16.0,28.0,42.0,31.0,0.0,4.0,False,1,1,0,-,-,1,2,1,-,-
2016.0,61.0,59.0,CHI,ARI,1,2,6,3,-,-300,256,37.0,21.0,23.0,37.0,2.0,0.0,True,3,2,1,-,-,3,0,0,-,-
2016.0,59.0,61.0,ARI,CHI,2,1,3,6,-,256,-300,21.0,37.0,37.0,23.0,0.0,2.0,False,3,0,0,-,-,3,2,1,-,-
2016.0,60.0,61.0,LA,BOS,1,0,1,4,-,-145,125,29.0,30.0,30.0,30.0,0.0,1.0,True,1,0,0,-,-,1,1,2,-,-
2016.0,61.0,60.0,BOS,LA,0,1,4,1,-,125,-145,30.0,29.0,30.0,30.0,1.0,0.0,False,1,1,2,-,-,1,0,0,-,-
2016.0,60.0,62.0,WAS,EDM,1,1,2,1,-,-190,175,40.0,33.0,19.0,28.0,0.0,1.0,True,1,0,1,-,-,0,1,0,-,-
2016.0,62.0,60.0,EDM,WAS,1,1,1,2,-,175,-190,33.0,40.0,28.0,19.0,1.0,0.0,False,0,1,0,-,-,1,0,1,-,-
2016.0,60.0,62.0,FLA,CAL,1,0,2,4,-,-160,150,28.0,31.0,31.0,30.0,0.0,1.0,True,2,0,0,-,-,3,1,0,-,-
2016.0,62.0,60.0,CAL,FLA,0,1,4,2,-,150,-160,31.0,28.0,30.0,31.0,1.0,0.0,False,3,1,0,-,-,2,0,0,-,-
2016.0,57.0,59.0,CAR,OTT,2,2,3,0,-,-135,125,24.0,32.0,32.0,26.0,0.0,2.0,True,1,2,0,-,-,0,0,0,-,-
2016.0,59.0,57.0,OTT,CAR,2,2,0,3,-,125,-135,32.0,24.0,26.0,32.0,2.0,0.0,False,0,0,0,-,-,1,2,0,-,-
2016.0,61.0,60.0,DAL,ARI,5,0,5,2,-,-235,215,23.0,21.0,37.0,38.0,1.0,0.0,True,1,1,3,-,-,1,1,0,-,-
